Xsdepot,,,Direct Connect Store,,,,Formula,,Output
GeneralMerchandise,GroomingAccessories,,Bed Bath & Body,Grooming,,,GeneralMerchandise/GroomingAccessories==Bed Bath & Body/Grooming,,GeneralMerchandise/GroomingAccessories==Bed Bath & Body/Grooming
GeneralMerchandise,Handbags&Wallets,,For the Family,Bags and Travels,,,GeneralMerchandise/Handbags&Wallets==For the Family/Bags and Travels,,GeneralMerchandise/Handbags&Wallets==For the Family/Bags and Travels
GeneralMerchandise,HomeDecorations,,Home Decor,Decorations,,,GeneralMerchandise/HomeDecorations==Home Decor/Decorations,,GeneralMerchandise/HomeDecorations==Home Decor/Decorations
GeneralMerchandise,KitchenAccessories,,Household Items,Kitchen Helpers,,,GeneralMerchandise/KitchenAccessories==Household Items/Kitchen Helpers,,GeneralMerchandise/KitchenAccessories==Household Items/Kitchen Helpers
GeneralMerchandise,LEDLights,,Household Items,Other Household,,,GeneralMerchandise/LEDLights==Household Items/Other Household,,GeneralMerchandise/LEDLights==Household Items/Other Household
GeneralMerchandise,Locks,,Household Items,Other Household,,,GeneralMerchandise/Locks==Household Items/Other Household,,GeneralMerchandise/Locks==Household Items/Other Household
GeneralMerchandise,Travel,,For the Family,Bags and Travels,,,GeneralMerchandise/Travel==For the Family/Bags and Travels,,GeneralMerchandise/Travel==For the Family/Bags and Travels
GeneralMerchandise,Watches&Jewelry,,Jewelry,Watches & More,,,GeneralMerchandise/Watches&Jewelry==Jewelry/Watches & More,,GeneralMerchandise/Watches&Jewelry==Jewelry/Watches & More
GiftIdeas,GiftIdeas,,For the Family,Gift Ideas,,,GiftIdeas/GiftIdeas==For the Family/Gift Ideas,,GiftIdeas/GiftIdeas==For the Family/Gift Ideas
GPS,Accessories,,Automobile,GPS and Navigation,,,GPS/Accessories==Automobile/GPS and Navigation,,GPS/Accessories==Automobile/GPS and Navigation
GPS,GPS,,Automobile,GPS and Navigation,,,GPS/GPS==Automobile/GPS and Navigation,,GPS/GPS==Automobile/GPS and Navigation
GPS,Software,,Automobile,GPS and Navigation,,,GPS/Software==Automobile/GPS and Navigation,,GPS/Software==Automobile/GPS and Navigation
HolidayItems,HolidayItems,,Holidays,General Holiday,,,HolidayItems/HolidayItems==Holidays/General Holiday,,HolidayItems/HolidayItems==Holidays/General Holiday
Home&Hobbies,FamilyTree&Genealogy,,For the Family,Home & Hobbies,,,Home&Hobbies/FamilyTree&Genealogy==For the Family/Home & Hobbies,,Home&Hobbies/FamilyTree&Genealogy==For the Family/Home & Hobbies
Home&Hobbies,Food&Health,,For the Family,Home & Hobbies,,,Home&Hobbies/Food&Health==For the Family/Home & Hobbies,,Home&Hobbies/Food&Health==For the Family/Home & Hobbies
Home&Hobbies,Home&LandscapeImprovement,,For the Family,Home & Hobbies,,,Home&Hobbies/Home&LandscapeImprovement==For the Family/Home & Hobbies,,Home&Hobbies/Home&LandscapeImprovement==For the Family/Home & Hobbies
Home&Hobbies,MusicandAudioTitles,,For the Family,Home & Hobbies,,,Home&Hobbies/MusicandAudioTitles==For the Family/Home & Hobbies,,Home&Hobbies/MusicandAudioTitles==For the Family/Home & Hobbies
Home&Hobbies,Sound&Music,,For the Family,Home & Hobbies,,,Home&Hobbies/Sound&Music==For the Family/Home & Hobbies,,Home&Hobbies/Sound&Music==For the Family/Home & Hobbies
Home&Hobbies,Space,,For the Family,Home & Hobbies,,,Home&Hobbies/Space==For the Family/Home & Hobbies,,Home&Hobbies/Space==For the Family/Home & Hobbies
HomeAppliances,HomeEnvironment&Air,,Household Items,Other Household,,,HomeAppliances/HomeEnvironment&Air==Household Items/Other Household,,HomeAppliances/HomeEnvironment&Air==Household Items/Other Household
HomeAppliances,PersonalCareProducts,,Bed Bath & Body,Grooming,,,HomeAppliances/PersonalCareProducts==Bed Bath & Body/Grooming,,HomeAppliances/PersonalCareProducts==Bed Bath & Body/Grooming
HomeAppliances,SmallAppliances,,Household Items,Appliances,,,HomeAppliances/SmallAppliances==Household Items/Appliances,,HomeAppliances/SmallAppliances==Household Items/Appliances
HomeAppliances,Vacuum,,Household Items,Vacuums,,,HomeAppliances/Vacuum==Household Items/Vacuums,,HomeAppliances/Vacuum==Household Items/Vacuums
HomeAudio,HomeTheater,,Electronics,Home Theater & Stereos,,,HomeAudio/HomeTheater==Electronics & Gadgets/Home Theater & Stereos,,HomeAudio/HomeTheater==Electronics & Gadgets/Home Theater & Stereos
HomeAudio,MusicDevices,,Electronics,Music Players,,,HomeAudio/MusicDevices==Electronics & Gadgets/Music Players,,HomeAudio/MusicDevices==Electronics & Gadgets/Music Players
Macintosh,Business&HomeOffice,,Electronics,Software,,,Macintosh/Business&HomeOffice==Electronics & Gadgets/Software,,Macintosh/Business&HomeOffice==Electronics & Gadgets/Software
Macintosh,Education&Reference,,Electronics,Software,,,Macintosh/Education&Reference==Electronics & Gadgets/Software,,Macintosh/Education&Reference==Electronics & Gadgets/Software
Macintosh,Home&Hobbies,,Electronics,Software,,,Macintosh/Home&Hobbies==Electronics & Gadgets/Software,,Macintosh/Home&Hobbies==Electronics & Gadgets/Software
